"osm_id"	"name"	"addr.city"	"addr.country"	"addr.housename"	"addr.housenumber"	"addr.postcode"	"addr.street"	"addr.suburb"	"brand"	"brand.wikidata"	"brand.wikipedia"	"contact.phone"	"contact.website"	"email"	"fax"	"note"	"old_name"	"opening_hours"	"operator"	"organic"	"payment.cash"	"payment.coins"	"payment.contactless"	"payment.credit_cards"	"payment.debit_cards"	"payment.girocard"	"payment.mastercard"	"payment.notes"	"payment.visa"	"phone"	"ref"	"shop"	"source"	"source.date"	"toilets.wheelchair"	"website"	"wheelchair"	"building"	"building.colour"	"building.height"	"building.levels"	"building.part"	"contact.email"	"contact.mobile"	"height"	"internet_access"	"roof.colour"	"roof.levels"	"roof.shape"	"geometry"
438197410	"Tegut, 34131 Kassel, Wilhelmshöher Allee  262"	"Kassel"	NA	NA	"262"	"34131"	"Wilhelmshöher Allee "	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Th 07:00-21:00; Fr-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4453403, 51.314193)"
442096347	"Rewe, 34266 Niestetal"	"Niestetal"	NA	NA	"72"	"34266"	"Hannoversche Straße"	NA	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	"REWE-Markt Hensel oHG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.rewe.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5474066, 51.3196327)"
442118577	"Edeka, 34266 Niestetal"	"Niestetal"	"DE"	NA	"8"	"34266"	"Hannoversche Straße"	NA	"Edeka"	"Q701755"	"de:Edeka"	NA	NA	NA	NA	NA	"Herkules-Markt"	"Mo-Sa 07:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.edeka.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5403601, 51.3146226)"
444929725	"Asiamarkt Wing Hap Li"	"Kassel"	NA	NA	"66"	"34125"	"Mittelring "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Fr 09:30-18:30; Sa 09:30-17:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5108348, 51.3247831)"
446767629	"Edeka Todenhöfer, 34131 Kassel, Baunsbergstraße  1"	"Kassel"	NA	NA	"1"	"34131"	"Baunsbergstraße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Fr 07:30-18:30; Sa 07:30-16:00; PH off"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4348611, 51.3138607)"
470222810	"Nahkauf, 34355 Staufenberg"	"Staufenberg"	NA	NA	"4"	"34355"	"Niestetalstraße "	NA	"Nahkauf"	"Q57515238"	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-20:00; Su 09:00-12:00"	"KR Nahversorgungs GmbH"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 5543 9989010"	NA	"supermarket"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.6159569, 51.3301051)"
490829148	"Edeka, 34121 Kassel"	"Kassel"	NA	NA	"20"	"34121"	"Wittrockstraße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	"EDEKA-Gruppe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4628806, 51.3099831)"
546421994	"Tegut, 34117 Kassel, Königsplatz 61"	"Kassel"	NA	NA	"61"	"34117"	"Königsplatz"	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:30-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 561 7663980"	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4980972, 51.3166005)"
546421995	"Aldi Nord, 34117 Kassel"	"Kassel"	NA	NA	"11"	"34117"	"Mauerstraße"	NA	"Aldi Nord"	"Q41171373"	"en:Aldi"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4965434, 51.3166023)"
556678419	"Penny, 34117 Kassel, Friedrich-Ebert-Straße "	"Kassel"	NA	NA	""	"34117"	"Friedrich-Ebert-Straße"	NA	"Penny"	"Q284688"	"en:Penny (supermarket)"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:30-21:00"	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4810614, 51.3152575)"
556678422	"Tegut, 34117 Kassel, Friedrich-Ebert-Straße  29"	"Kassel"	NA	NA	"29"	"34117"	"Friedrich-Ebert-Straße "	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	"no"	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4846589, 51.314553)"
560103103	"Edeka, 34128 Kassel"	"Kassel"	NA	NA	"395"	"34128"	"Wolfhager Straße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00; PH off"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4369647, 51.3372356)"
599548226	"Edeka, 34125 Kassel,  Wolfsangerstraße  100"	"Kassel"	NA	NA	"100"	"34125"	" Wolfsangerstraße "	NA	"Edeka"	"Q701755"	"de:Edeka"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5301564, 51.3289493)"
605439461	"Edeka, 34253 Lohfelden"	"Lohfelden"	NA	NA	""	"34253"	"Hauptstraße"	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"limited"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5426319, 51.2768336)"
827753713	"Aldi, 34292 Ahnatal"	"Ahnatal"	NA	NA	"27"	"34292"	"Heckershäuser Straße "	NA	"Aldi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.3983971, 51.3682179)"
838559911	"Aldi, 34127 Kassel"	"Kassel"	NA	NA	"33"	"34127"	"Philippinenhöfer Weg "	NA	"Aldi"	"Q125054"	"en:Aldi"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"limited"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4933648, 51.3397785)"
886020761	"Edeka, 34295 Edermünde"	"Edermünde"	"DE"	NA	"1"	"34295"	"In der Lache"	NA	"Edeka"	"Q701755"	"en:Edeka"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-20:00"	"EDEKA-Gruppe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+4956031301"	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.3891617, 51.2291353)"
900704348	"Edeka Möller"	"Vellmar"	NA	NA	"74"	"34246"	"Holländische Straße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"http://www.neukauf-moeller.de"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4594896, 51.3616986)"
919372471	"Aldi Nord, 34123 Kassel"	"Kassel"	NA	NA	"124"	"34123"	"Leipziger Straße"	NA	"Aldi Nord"	"Q41171373"	"en:Aldi"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	"ALDI GmbH & Co. KG 34346 Hann. Münden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.aldi-nord.de/"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5268017, 51.3047857)"
923896321	"Tegut, 34123 Kassel"	"Kassel"	NA	NA	"128"	"34123"	"Leipziger Straße"	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.tegut.com/maerkte/markt/tegut-kassel-bettenhausen-leipziger-str-136.html"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5270593, 51.3052267)"
936738462	"Bauernladen Kirschenhof"	"Grebenstein"	NA	NA	""	"34393"	"Gradhöhe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"only"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.3967657, 51.4355034)"
945261139	"Edeka, 34277 Fuldabrück"	"Fuldabrück"	NA	NA	"13"	"34277"	"Parkstraße"	NA	"Edeka"	NA	NA	NA	NA	NA	"+49 561 44245"	NA	NA	NA	"Thomas Hofmann"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 561 44245"	NA	"supermarket"	"http://www.edeka.de/"	"2015-12-14"	NA	"http://www.edeka.de/"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4816904, 51.2513309)"
966078063	"Netto, 34393 Grebenstein"	"Grebenstein"	NA	NA	NA	"34393"	"Hofgeismarer Straße"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	NA	NA	"yes"	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"limited"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4129657, 51.4488298)"
993470613	"Rewe Markt"	"Fuldatal"	NA	NA	"161"	"34233"	"Ihringshäuser Straße"	NA	"Rewe"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 06:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 5601 310570"	NA	"supermarket"	"http://www.rewe.de/"	NA	NA	"http://www.rewe.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5180688, 51.3418358)"
1024673949	"SB-Union Großmarkt"	"Kassel"	"DE"	NA	"29"	"34123"	"Heinrich-Hertz-Straße"	"Waldau"	NA	NA	NA	NA	NA	NA	NA	"wholesale"	NA	NA	"EDEKA Hessenring-Gruppe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5229154, 51.2749038)"
1235817227	"Rewe-Markt Ehlert"	"Grebenstein"	NA	NA	""	"34393"	"Bahnhofstraße"	NA	"Rewe"	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4173266, 51.4479364)"
1288897091	"Edeka, 34127 Kassel"	"Kassel"	"DE"	NA	"30"	"34127"	"Fiedlerstraße"	"Nord Holland"	"Edeka"	"Q701755"	"en:Edeka"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-22:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5011226, 51.3311856)"
1423903567	"City-Markt"	"Immenhausen"	NA	NA	"5"	"34376"	"Obere Bahnhofstraße"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Th 08:00-13:00,15:00-18:00; Fr-Sa 08:00-13:00"	"Thomas Hofmann"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 5673 913243"	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4789589, 51.4271909)"
1480424954	"Penny, 34131 Kassel"	"Kassel"	NA	NA	"1B"	"34131"	"Rolandstraße "	NA	"Penny"	"Q284688"	"en:Penny (supermarket)"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-20:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4423233, 51.314427)"
1482054003	"Netto, 34253 Lohfelden"	"Lohfelden"	NA	"Netto Marken Discount"	"54"	"34253"	"Kasseler Straße"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	"no"	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5636117, 51.2675)"
1508260229	"Netto Marken-Discount, 34132 Kassel"	"Kassel"	NA	NA	"69a"	"34132"	"Heinrich-Plett-Straße"	NA	"Netto Marken-Discount"	"Q879858"	"de:Netto Marken-Discount"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4418962, 51.2792533)"
1607486761	"Edeka-Neukauf"	"Ahnatal"	NA	NA	"29"	"34292"	"Heckershäuser Straße "	NA	"Edeka"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.399975, 51.3678786)"
1610232612	"Ratio SB-Warenhaus"	"Baunatal"	NA	NA	"1-5"	"34225"	"Fuldastraße"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"yes"	"yes"	NA	NA	"yes"	"yes"	"yes"	"yes"	"+49 5665 929590"	NA	"supermarket"	"https://ratio-land.de/centerplan/"	NA	NA	"https://ratio-land.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4291727, 51.2287645)"
1610356853	"Rewe, 34225 Baunatal"	"Baunatal"	NA	"REWE"	"2a"	"34225"	"Johann-Siegmund-Schuckert-Straße"	NA	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	"Mo-Fr 06:00-00:00; Sa 06:00-23:30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4110077, 51.2535161)"
1684732979	"denn's Biomarkt, 34119 Kassel"	"Kassel"	NA	NA	"70"	"34119"	"Kirchweg "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Fr 08:00-19:00; Sa 08:00-16:00"	NA	"only"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4639791, 51.3164259)"
1787178717	"Tegut, 34131 Kassel, Wilhelmshöher Allee 253"	"Kassel"	NA	NA	"253"	"34131"	"Wilhelmshöher Allee"	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00; Su[1] 13:00-17:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.tegut.com/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4451417, 51.3127491)"
1828909154	"Biomarkt Greger"	"Kassel"	"DE"	NA	"275"	"34131"	"Wilhelmshöher Allee"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Fr 09:00-19:00;Sa 08:00-14:00"	NA	"only"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"+49 561 35200"	NA	"supermarket"	NA	NA	NA	"http://www.biomarktgreger.de"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4412579, 51.3135214)"
1835746439	"Nahkauf, 34130 Kassel"	"Kassel"	NA	NA	"24"	"34130"	"Teichstraße "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	"no"	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4498427, 51.3220996)"
1946124332	"Asia Markt Fu Xing"	"Kassel"	NA	NA	"6"	"34117"	"Martinsplatz "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 10:00-19:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	"no"	NA	"limited"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.5003096, 51.3169061)"
1976364388	"Tegut, 34246 Vellmar"	"Vellmar"	NA	NA	"8-11"	"34246"	"Rathausplatz"	NA	"Tegut"	"Q1547993"	"en:Tegut"	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4666204, 51.3629426)"
2049771880	"Aldi Nord, 34260 Kaufungen"	"Kaufungen"	NA	NA	"10"	"34260"	"Im Feldhof"	NA	"Aldi Nord"	"Q41171373"	"en:Aldi"	NA	NA	NA	NA	NA	NA	"08:00-20:00"	"ALDI GmbH & Co. KG, 34346 Hann. Münden"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	"https://www.aldi-nord.de/"	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.6006962, 51.2837808)"
2049771968	"Rewe, 34260 Kaufungen, Im Feldhof "	"Kaufungen"	NA	NA	""	"34260"	"Im Feldhof"	NA	"Rewe"	"Q16968817"	"en:REWE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.6004451, 51.2840458)"
2314962741	"Netto, 34246 Vellmar"	"Vellmar"	NA	NA	""	"34246"	"Heideweg"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Mo-Sa 07:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	NA	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.4485162, 51.3572343)"
2314996966	"Penny, 34128 Kassel"	"Kassel"	NA	NA	"2"	"34128"	"Zum Hirtenkamp"	NA	"Penny"	"Q284688"	"en:Penny (supermarket)"	NA	NA	NA	NA	NA	NA	"Mo-Sa 08:00-21:00"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"supermarket"	NA	NA	"no"	NA	"yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(9.445716, 51.34392)"
